order,id,date,time,url,visitCount,typedCount,transition
95,2498,8/6/2023,0:48:34,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
96,2572,8/6/2023,0:48:32,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
97,2498,8/6/2023,0:48:31,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
98,2572,8/6/2023,0:48:29,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
99,2498,8/6/2023,0:48:28,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
100,2572,8/6/2023,0:48:26,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
101,2498,8/6/2023,0:48:24,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
102,2572,8/6/2023,0:48:23,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
103,2498,8/6/2023,0:48:21,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
104,2572,8/6/2023,0:48:19,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
105,2498,8/6/2023,0:48:18,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
106,2572,8/6/2023,0:48:17,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
107,2498,8/6/2023,0:48:15,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
108,2572,8/6/2023,0:48:13,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
109,2498,8/6/2023,0:48:12,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
110,2572,8/6/2023,0:48:10,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
111,2498,8/6/2023,0:48:05,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
112,2572,8/6/2023,0:48:04,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
113,2498,8/6/2023,0:48:02,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
